,0,1,2,totalRating,Random Query,MSSIM
9_AGrid_distribution_0.5_32,3,1,2,2,214.55566236665734,0.7924907803535461
3_AGrid_distribution_0.05_64,0,0,0,0,94.92197800129726,0.5066154599189758
3_AGrid_distribution_0.01_32,0,0,0,0,373.14969948588015,0.4834189713001251
0_DAWA_distribution_0.01_64,0,0,0,0,60.9112,0.7414631247520447
9_DAWA_distribution_0.01_32,1,0,1,1,206.2428,0.685273289680481
9_Geometric_distribution_0.1_32,2,2,2,2,424.905,0.6147390007972717
9_Laplace_distribution_0.5_32,2,1,2,2,218.50697478242918,0.7387996912002563
0_AHP_distribution_0.5_64,3,3,3,3,88.29331540263354,0.8730888366699219
9_Geometric_distribution_0.01_64,0,0,0,0,3167.6716,0.5659705400466919
3_DAWA_distribution_0.05_64,1,0,2,1,83.2758,0.6397355794906616
3_Laplace_clusters_0.5_32,3,1,3,3,366.1278696734144,0.7049562335014343
0_AHP_distribution_0.1_64,2,1,1,1,77.4502202926066,0.8673908114433289
3_Laplace_clusters_0.5_64,3,1,2,2,96.61245694271075,0.6283329725265503
0_Laplace_correlation_0.01_32,0,0,0,0,806.8730813268149,0.43289536237716675
0_AHP_distribution_0.01_32,0,0,0,0,213.83458486292977,0.3634272813796997
0_AGrid_correlation_0.5_32,3,1,3,3,265.54327104338546,0.8676533699035645
2_Laplace_distribution_0.1_64,0,0,0,0,117.19406389682781,0.5402700901031494
2_Geometric_distribution_0.05_64,0,0,0,0,643.9558,0.6393973231315613
0_Geometric_distribution_0.05_32,2,1,1,1,571.293,0.7185248732566833
0_AGrid_correlation_0.05_64,0,0,0,0,111.83983332773697,0.6882213950157166
9_Laplace_distribution_0.05_64,0,0,0,0,224.6402254791539,0.4578017294406891
2_Laplace_distribution_0.05_32,0,0,1,0,396.05166638199194,0.5164879560470581
9_DAWA_distribution_0.05_64,0,0,1,0,86.4378,0.7687745094299316
0_AHP_correlation_0.01_64,0,0,0,0,103.78417515104285,0.8518833518028259
3_AGrid_clusters_0.01_64,0,0,0,0,180.84612552009224,0.4949644207954407
2_Laplace_distribution_0.1_32,1,0,1,1,240.89365756630013,0.6211044788360596
3_Laplace_distribution_0.05_32,1,0,1,1,416.6581283296288,0.45073002576828003
0_Laplace_correlation_0.1_64,0,0,1,0,147.51523386232714,0.5446330904960632
0_AHP_correlation_0.05_64,0,0,0,0,80.36312265947039,0.7670754790306091
9_Laplace_distribution_0.1_64,0,0,1,0,157.22956227418223,0.46847549080848694
2_Laplace_distribution_0.5_64,2,0,2,2,55.404332065782,0.8165668845176697
3_AHP_distribution_0.1_32,2,1,2,2,347.9551063964708,0.6831503510475159
3_Laplace_distribution_0.1_32,1,0,2,1,362.6275807694896,0.48032987117767334
0_DAWA_distribution_0.5_64,3,1,2,2,90.8826,0.8647494316101074
0_DAWA_correlation_0.5_64,3,1,3,3,90.8826,0.8647494316101074
9_DAWA_distribution_0.5_32,2,2,2,2,203.9098,0.8107814788818359
3_AGrid_distribution_0.1_64,1,0,2,1,90.40018230414539,0.5304019451141357
0_AGrid_correlation_0.1_64,2,2,2,2,103.81208074139775,0.8735488057136536
0_AGrid_distribution_0.05_32,0,0,1,0,292.6461554134272,0.760988175868988
0_Geometric_correlation_0.01_64,0,0,0,0,3241.9908,0.6275857090950012
3_Geometric_distribution_0.1_64,0,0,1,0,300.2454,0.6387999057769775
3_Laplace_clusters_0.05_32,1,0,1,1,458.4118280558595,0.41262131929397583
9_AHP_distribution_0.01_32,0,0,0,0,297.76448998732224,0.3687984049320221
2_Laplace_distribution_0.01_64,0,0,0,0,916.7674813135974,0.43294763565063477
3_AGrid_clusters_0.1_32,1,0,1,1,341.96536295244135,0.5407291650772095
2_AHP_distribution_0.01_32,0,0,0,0,146.1122893453736,0.3450738191604614
0_AGrid_distribution_0.5_64,2,1,2,2,96.19161530992855,0.8182061910629272
0_Geometric_correlation_0.1_32,3,3,2,3,363.5822,0.8035284280776978
0_AGrid_distribution_0.1_32,2,2,2,2,278.70437208788246,0.8646881580352783
2_DAWA_distribution_0.5_32,2,3,2,2,202.6004,0.8291991949081421
2_DAWA_distribution_0.1_32,1,2,1,1,209.8082,0.8322609663009644
3_Geometric_clusters_0.5_32,3,3,3,3,368.4904,0.7354938387870789
9_AHP_distribution_0.01_64,0,0,0,0,138.70588665146835,0.8353016972541809
0_Geometric_distribution_0.05_64,1,0,1,1,586.2378,0.5959789752960205
3_Geometric_clusters_0.1_32,2,1,2,2,399.963,0.5965169072151184
0_DAWA_distribution_0.01_32,2,0,1,1,257.3424,0.778887927532196
0_Geometric_correlation_0.05_64,0,0,0,0,616.608,0.5635450482368469
9_Laplace_distribution_0.01_32,0,0,0,0,1198.8180343210045,0.44477057456970215
3_AGrid_distribution_0.1_32,1,0,2,1,341.96536295244135,0.5407291650772095
9_AHP_distribution_0.05_64,0,0,0,0,111.15309092739986,0.7932589650154114
3_DAWA_clusters_0.01_64,0,0,0,0,104.7802,0.5819214582443237
3_AHP_clusters_0.01_32,0,0,0,0,363.3615375804237,0.34595489501953125
9_AHP_distribution_0.1_32,1,1,1,1,231.1158500929954,0.784278154373169
0_Laplace_distribution_0.01_64,0,0,0,0,860.0966657117724,0.4767967760562897
3_Laplace_distribution_0.5_64,1,1,2,1,98.05614383773298,0.6007789373397827
2_DAWA_distribution_0.01_64,0,0,0,0,73.6078,0.7230668663978577
9_DAWA_distribution_0.05_32,0,1,1,1,200.3174,0.7721924781799316
2_AHP_distribution_0.5_32,3,3,3,3,197.64713829979272,0.8227134346961975
3_AHP_clusters_0.1_64,0,0,0,0,94.78037858499088,0.734568178653717
3_AHP_clusters_0.01_64,0,0,0,0,116.3800364313451,0.7476304173469543
3_Geometric_distribution_0.5_32,2,3,2,2,361.7456,0.7338467240333557
0_AHP_correlation_0.5_32,3,3,3,3,251.8216242485449,0.8590036630630493
9_Laplace_distribution_0.1_32,1,1,1,1,240.30260870767253,0.5180435180664062
9_AGrid_distribution_0.01_32,0,0,0,0,511.820200817585,0.5185824036598206
0_DAWA_correlation_0.05_32,2,1,1,1,242.9704,0.8909674286842346
3_AGrid_clusters_0.05_32,0,0,0,0,332.1739011655487,0.5073399543762207
3_AHP_distribution_0.01_64,0,0,0,0,116.3800364313451,0.7476304173469543
0_AGrid_distribution_0.01_32,0,0,0,0,595.9674303298592,0.5273962616920471
3_DAWA_distribution_0.01_64,0,0,0,0,104.7802,0.5819214582443237
9_Laplace_distribution_0.01_64,0,0,0,0,934.432146597513,0.4596218466758728
0_Geometric_distribution_0.5_64,3,2,2,2,116.31,0.8434613347053528
3_AHP_clusters_0.05_32,0,0,0,0,343.52857711187283,0.5658049583435059
3_DAWA_distribution_0.05_32,1,0,1,1,334.249,0.5941725373268127
2_AHP_distribution_0.01_64,0,0,0,0,102.6098918825167,0.8548608422279358
0_Laplace_correlation_0.5_64,3,1,2,2,101.73908232952235,0.7769330143928528
3_DAWA_clusters_0.5_32,3,3,3,3,357.6742,0.7556545734405518
2_Geometric_distribution_0.01_64,0,0,0,0,3020.623,0.5815255045890808
0_Geometric_correlation_0.5_64,3,3,2,3,116.472,0.8447152376174927
3_DAWA_clusters_0.05_32,1,0,1,1,334.249,0.5941725373268127
9_AGrid_distribution_0.1_32,0,1,2,1,219.31464565515668,0.7678039073944092
3_AGrid_clusters_0.01_32,0,0,0,0,373.14969948588015,0.4834189713001251
3_DAWA_clusters_0.05_64,2,0,1,1,83.2758,0.6397355794906616
0_DAWA_correlation_0.01_32,1,0,0,0,257.3424,0.778887927532196
3_AGrid_clusters_0.5_32,2,2,3,2,359.4993426933241,0.7476568818092346
3_AGrid_clusters_0.05_64,0,0,0,0,94.92197800129726,0.5066154599189758
9_Geometric_distribution_0.05_32,0,1,1,1,673.5364,0.49931734800338745
0_AGrid_distribution_0.01_64,0,0,0,0,232.22030689570903,0.5232213735580444
3_AHP_clusters_0.05_64,0,0,0,0,96.87886840700136,0.7504620552062988
0_AHP_correlation_0.5_64,3,3,3,3,88.29331540263354,0.8730888366699219
0_DAWA_correlation_0.05_64,2,0,1,1,83.716,0.7833499312400818
0_AHP_distribution_0.1_32,3,1,2,2,205.81902683931278,0.8740836381912231
3_Geometric_distribution_0.01_32,0,0,0,0,2913.7904,0.5568342208862305
0_DAWA_distribution_0.5_32,3,2,3,3,267.3436,0.861621618270874
9_Geometric_distribution_0.5_64,2,1,2,2,139.755,0.7682278156280518
3_Geometric_distribution_0.5_64,2,1,3,2,104.8388,0.7107799053192139
3_Geometric_distribution_0.05_64,0,0,0,0,604.331,0.5869001150131226
2_DAWA_distribution_0.05_64,0,0,1,0,56.0022,0.7885745763778687
3_DAWA_clusters_0.1_32,2,1,3,2,339.653,0.649945855140686
3_DAWA_distribution_0.01_32,0,0,0,0,343.4688,0.642217755317688
0_DAWA_distribution_0.1_32,2,1,2,2,262.7914,0.8628512620925903
0_AHP_distribution_0.01_64,0,0,0,0,103.78417515104285,0.8518833518028259
0_AHP_correlation_0.1_64,1,1,0,1,77.4502202926066,0.8673908114433289
0_Laplace_correlation_0.05_32,0,0,0,0,319.77195425826784,0.5604032874107361
0_AHP_correlation_0.01_32,0,0,0,0,213.83458486292977,0.3634272813796997
0_DAWA_correlation_0.5_32,3,3,3,3,267.3436,0.861621618270874
3_Laplace_clusters_0.01_64,0,0,0,0,846.0016532701068,0.4616890549659729
0_DAWA_correlation_0.1_64,2,1,0,1,86.8816,0.8829998970031738
0_AGrid_correlation_0.01_32,0,0,0,0,595.9674303298592,0.5273962616920471
3_DAWA_distribution_0.1_32,1,1,3,1,339.653,0.649945855140686
0_Laplace_distribution_0.01_32,0,0,0,0,1070.8304813336163,0.4305953085422516
0_AGrid_correlation_0.01_64,0,0,0,0,232.22030689570903,0.5232213735580444
0_AGrid_distribution_0.5_32,3,2,2,2,265.54327104338546,0.8676533699035645
3_AHP_distribution_0.05_32,0,0,0,0,343.52857711187283,0.5658049583435059
0_AHP_correlation_0.1_32,3,2,1,2,205.81902683931278,0.8740836381912231
3_AHP_distribution_0.05_64,0,0,0,0,96.87886840700136,0.7504620552062988
3_Geometric_clusters_0.01_64,0,0,0,0,2856.6738,0.5571467876434326
3_Geometric_distribution_0.05_32,1,1,1,1,608.8752,0.5496231317520142
9_AGrid_distribution_0.5_64,2,1,2,2,103.1353441117173,0.7573111653327942
2_AHP_distribution_0.1_64,1,2,1,1,48.73025775454237,0.8651869297027588
0_Geometric_distribution_0.5_32,3,3,3,3,271.6738,0.8486010432243347
9_DAWA_distribution_0.01_64,0,1,1,1,91.981,0.6059558391571045
2_AGrid_distribution_0.5_64,1,2,1,1,55.08234540506804,0.84547358751297
2_AHP_distribution_0.1_32,1,3,1,1,173.32094537031324,0.8372820019721985
2_AGrid_distribution_0.01_32,0,0,0,0,584.9942371201098,0.5293152332305908
0_Laplace_distribution_0.1_64,1,0,1,1,143.4165359598368,0.5190022587776184
3_Geometric_clusters_0.05_32,0,1,1,1,565.6414,0.568155825138092
3_Laplace_distribution_0.05_64,0,0,0,0,195.58050675836387,0.4417705535888672
3_AGrid_distribution_0.5_64,2,1,3,2,89.84001204930274,0.6548452973365784
2_Geometric_distribution_0.05_32,2,1,1,1,659.6688,0.5998361706733704
2_AGrid_distribution_0.01_64,0,0,0,0,213.7853838129014,0.5375993251800537
0_Laplace_correlation_0.01_64,0,0,0,0,797.0353568258362,0.45938587188720703
0_Laplace_distribution_0.5_64,2,2,3,2,103.17344788831461,0.7819414734840393
2_AHP_distribution_0.5_64,2,3,1,2,45.92920217320431,0.9007165431976318
2_Laplace_distribution_0.01_32,0,0,0,0,652.9262918510238,0.4189579486846924
2_Laplace_distribution_0.5_32,3,1,3,3,225.77761421581246,0.7939164638519287
9_Geometric_distribution_0.1_64,1,0,1,1,351.2654,0.555578351020813
9_DAWA_distribution_0.1_32,0,1,2,1,204.5046,0.8072540760040283
2_DAWA_distribution_0.05_32,0,1,1,1,216.4948,0.8248624801635742
9_Laplace_distribution_0.05_32,0,0,1,0,310.8929157584886,0.42280375957489014
2_Geometric_distribution_0.1_64,0,1,1,1,330.2248,0.6716169118881226
0_AGrid_correlation_0.5_64,2,1,2,2,96.19161530992855,0.8182061910629272
3_DAWA_clusters_0.01_32,0,0,0,0,343.4688,0.642217755317688
2_DAWA_distribution_0.1_64,0,1,1,1,46.163,0.8546661138534546
9_DAWA_distribution_0.5_64,1,2,2,2,96.7356,0.8242851495742798
0_AHP_distribution_0.05_32,0,0,2,0,208.25612816966242,0.8597564101219177
0_DAWA_distribution_0.1_64,1,1,1,1,86.8816,0.8829998970031738
0_Geometric_distribution_0.01_32,0,0,0,0,3127.4582,0.5255357623100281
3_AGrid_clusters_0.5_64,3,1,3,3,89.84001204930274,0.6548452973365784
0_AHP_correlation_0.05_32,2,1,1,1,208.25612816966242,0.8597564101219177
0_AGrid_distribution_0.1_64,1,1,1,1,103.81208074139775,0.8735488057136536
3_AHP_distribution_0.5_32,3,3,3,3,336.6458973735829,0.7398856282234192
3_AGrid_clusters_0.1_64,1,0,1,1,90.40018230414539,0.5304019451141357
9_Laplace_distribution_0.5_64,1,1,2,1,109.77712717989196,0.6831633448600769
2_Geometric_distribution_0.1_32,2,2,1,2,371.3428,0.717090368270874
2_Geometric_distribution_0.01_32,0,0,0,0,3001.2796,0.524349570274353
2_AGrid_distribution_0.05_32,0,0,0,0,308.30326634600533,0.5757678747177124
3_Laplace_clusters_0.1_64,0,0,0,0,137.43518819535376,0.4416395425796509
3_Laplace_distribution_0.5_32,2,1,3,2,372.6276650172375,0.6990846395492554
0_AHP_distribution_0.05_64,0,0,0,0,80.36312265947039,0.7670754790306091
9_Geometric_distribution_0.01_32,0,0,0,0,3108.2498,0.5885449647903442
3_Geometric_clusters_0.1_64,1,0,1,1,304.7058,0.5728803873062134
0_AHP_distribution_0.5_32,3,1,3,3,251.8216242485449,0.8590036630630493
3_AHP_distribution_0.1_64,0,0,0,0,94.78037858499088,0.734568178653717
0_Laplace_distribution_0.05_32,1,0,2,1,340.60301602904553,0.5529720783233643
0_DAWA_correlation_0.01_64,0,1,1,1,60.9112,0.7414631247520447
9_AHP_distribution_0.5_64,2,2,2,2,102.4309521682948,0.8161761164665222
