,0,1,2,totalRating,Random Query,MSSIM
0_Geometric_distribution_0.1_64,2,0,1,1,305.3854,0.6740620732307434
0_Geometric_correlation_0.5_32,3,3,3,3,266.981,0.8500314354896545
3_AGrid_distribution_0.01_64,0,0,0,0,180.84612552009224,0.4949644207954407
3_Laplace_clusters_0.1_32,1,1,2,1,418.3528609566977,0.4473584294319153
2_Geometric_distribution_0.5_32,3,3,2,3,212.5892,0.817366898059845
3_Laplace_clusters_0.05_64,0,0,1,0,219.07305045003807,0.45608049631118774
2_AGrid_distribution_0.1_32,2,1,0,1,244.13559794680552,0.7957721948623657
0_Geometric_correlation_0.05_32,3,2,1,2,657.9534,0.6913245916366577
0_Geometric_correlation_0.01_32,0,0,0,0,2892.7496,0.4924819767475128
3_AGrid_distribution_0.05_32,1,0,0,0,332.1739011655487,0.5073399543762207
0_Laplace_distribution_0.5_32,3,2,2,2,271.1010189903799,0.8356143236160278
3_Laplace_distribution_0.01_64,0,0,0,0,890.4782735645957,0.4458189010620117
2_AGrid_distribution_0.5_32,3,2,1,2,220.09857273781466,0.8316754102706909
3_Geometric_clusters_0.5_64,3,2,2,2,104.878,0.7080720663070679
3_AHP_clusters_0.5_64,3,2,3,3,87.85045687917632,0.7354881763458252
0_AGrid_distribution_0.05_64,1,0,1,1,111.83983332773697,0.6882213950157166
9_AHP_distribution_0.5_32,3,3,3,3,210.19372249365034,0.7959309816360474
0_Laplace_distribution_0.1_32,2,1,1,1,280.76441871292803,0.7183454632759094
9_AGrid_distribution_0.05_32,1,0,1,1,243.48045659309625,0.5837351083755493
3_Laplace_distribution_0.01_32,0,0,0,0,981.2172895311836,0.40659743547439575
3_Geometric_clusters_0.05_64,0,0,0,0,595.3092,0.5582330226898193
3_AHP_distribution_0.5_64,3,1,3,3,87.85045687917632,0.7354881763458252
2_AHP_distribution_0.05_64,2,0,1,1,66.68569853808494,0.7791998982429504
3_Geometric_distribution_0.1_32,1,1,2,1,400.1452,0.5951628088951111
0_Geometric_distribution_0.01_64,0,0,0,0,2995.3116,0.5887805223464966
9_DAWA_distribution_0.1_64,1,1,2,1,97.6654,0.7581737637519836
3_DAWA_distribution_0.1_64,1,1,3,1,84.5582,0.6570044159889221
9_AGrid_distribution_0.1_64,1,0,2,1,106.32627186336825,0.7802844047546387
3_AHP_distribution_0.01_32,0,0,0,0,363.3615375804237,0.34595489501953125
9_Geometric_distribution_0.5_32,3,2,2,2,236.2292,0.7834559679031372
0_Laplace_correlation_0.1_32,2,1,1,1,324.02916609794136,0.7097457647323608
9_AGrid_distribution_0.05_64,1,0,1,1,120.17195856588185,0.5905059576034546
3_AGrid_distribution_0.5_32,3,2,3,3,359.4993426933241,0.7476568818092346
3_Geometric_clusters_0.01_32,0,0,0,0,2906.2636,0.4319981336593628
9_AHP_distribution_0.05_32,1,1,1,1,271.90368406997294,0.6868240833282471
3_DAWA_distribution_0.5_64,3,1,3,3,84.2342,0.7848427891731262
2_DAWA_distribution_0.01_32,0,0,1,0,353.0808,0.6633056402206421
3_DAWA_distribution_0.5_32,3,3,3,3,357.6742,0.7556545734405518
9_Geometric_distribution_0.05_64,0,0,0,0,638.9068,0.5652609467506409
2_AGrid_distribution_0.1_64,2,0,1,1,68.21797472483814,0.7646488547325134
3_Laplace_distribution_0.1_64,0,0,0,0,139.56975722990447,0.44982224702835083
3_DAWA_clusters_0.5_64,3,2,3,3,84.2342,0.7848427891731262
0_Geometric_distribution_0.1_32,3,3,2,3,380.2164,0.7991862893104553
3_Geometric_distribution_0.01_64,0,0,0,0,3045.909,0.5766115188598633
3_DAWA_clusters_0.1_64,2,1,2,2,84.5582,0.6570044159889221
3_Laplace_clusters_0.01_32,0,0,0,0,1114.3472726948016,0.39337268471717834
0_DAWA_distribution_0.05_32,2,1,1,1,242.9704,0.8909674286842346
3_AHP_clusters_0.1_32,1,1,2,1,347.9551063964708,0.6831503510475159
2_AHP_distribution_0.05_32,1,2,1,1,174.0694566702906,0.8064362406730652
0_Laplace_correlation_0.5_32,3,0,3,3,262.2654098289133,0.8351562023162842
2_DAWA_distribution_0.5_64,3,2,0,2,48.6176,0.8929383158683777
0_Laplace_correlation_0.05_64,1,0,0,0,229.33827972767577,0.4815983176231384
9_AHP_distribution_0.1_64,0,0,1,0,108.20035378841457,0.7048431634902954
3_AHP_clusters_0.5_32,3,2,3,3,336.6458973735829,0.7398856282234192
0_Geometric_correlation_0.1_64,3,2,1,2,300.8504,0.6578210592269897
2_AGrid_distribution_0.05_64,1,0,1,1,94.84482923577615,0.5856320261955261
0_AGrid_correlation_0.1_32,3,1,2,2,278.70437208788246,0.8646881580352783
2_Geometric_distribution_0.5_64,3,1,2,2,81.0852,0.8639054894447327
0_DAWA_correlation_0.1_32,3,1,1,1,262.7914,0.8628512620925903
0_Laplace_distribution_0.05_64,1,0,0,0,189.07774719206486,0.5234287977218628
2_Laplace_distribution_0.05_64,0,0,0,0,189.1011027879455,0.5487436056137085
9_AGrid_distribution_0.01_64,0,0,0,0,244.47813025610446,0.5244333744049072
0_DAWA_distribution_0.05_64,1,1,1,1,83.716,0.7833499312400818
0_AGrid_correlation_0.05_32,0,0,0,0,292.6461554134272,0.760988175868988
